0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,2.814699769534725,0.46396656851476104,0.9500054646263842,,1.0,,0.0,0.0,,2.0,2.0,,,2.0
,0.5347658208558124,1.7368141568113349,,0.7298035993692427,0.0,,,0.0,0.0,,3.0,2.0,,3.0
,,4.63130389805069,2.3902255491353444,0.49967617014794685,0.0,1.0,,,1.0,1.0,1.0,,1.0,
,1.5391123561596638,3.1695173313839793,0.31618127374894733,,0.0,,0.0,,1.0,2.0,,1.0,,3.0
,2.7391071615182243,8.379381689946108,,0.6677357554848122,0.0,1.0,1.0,,,2.0,,2.0,3.0,
2.8098348887394287,,4.408386350201119,2.858593249102872,,,1.0,,1.0,1.0,2.0,1.0,,2.0,
4.293892844599402,,0.38743196683364134,,3.478056790766831,,0.0,1.0,0.0,,,3.0,3.0,,1.0
,0.20003811063611715,0.7116415183421367,,2.0920813149381936,0.0,1.0,,,0.0,2.0,,2.0,2.0,
4.564833719197944,2.835207091649689,,0.8785314402556841,,0.0,1.0,,,1.0,,3.0,2.0,2.0,
0.3412273978693351,1.0884918067222604,3.186354823373394,,,,1.0,0.0,0.0,,,,1.0,2.0,2.0
1.0581174732985803,,8.646121375876465,4.283266230283965,,1.0,0.0,,1.0,,,,2.0,2.0,3.0
2.7054770457380783,,1.9779856660097117,,9.09032571693999,1.0,0.0,,,1.0,2.0,,2.0,1.0,
2.0764977222058634,,1.2826510868483492,0.4226092025632562,,,1.0,,0.0,0.0,2.0,2.0,1.0,,
9.796139902969909,,,5.172896124524608,0.95057862032816,,1.0,1.0,,1.0,1.0,1.0,,,2.0
14.92394422095403,0.07353055471311151,,0.45746220001165816,,,0.0,1.0,1.0,,1.0,1.0,3.0,,
5.367916498785381,0.471426168290073,3.496722781573736,,,,1.0,,1.0,1.0,,,2.0,3.0,3.0
7.6248626329259235,,,2.2910725136836216,2.2310407700866395,1.0,,1.0,,0.0,,2.0,3.0,,3.0
,1.8319350406419392,,1.2242174993561195,3.5054057808492516,0.0,,1.0,0.0,,,1.0,3.0,0.0,
2.168857076613917,,7.866911379796364,0.8269288996879639,,1.0,0.0,,1.0,,3.0,1.0,2.0,,
4.249930776654371,,,3.511053710645707,0.4594279005573726,0.0,,,1.0,0.0,,,3.0,2.0,2.0
,0.5177110953377436,10.50921315350393,1.8908576990112596,,,0.0,0.0,,0.0,,3.0,0.0,3.0,
0.856515518940021,,2.8599413349763902,,1.9111303934648196,0.0,0.0,,0.0,,,3.0,1.0,2.0,
5.4761269827104595,2.9005803710999136,0.4544695815930204,,,0.0,,0.0,,0.0,2.0,1.0,,,2.0
,,0.7801689600215987,14.264481562183773,0.3478622874986861,,1.0,0.0,,0.0,1.0,2.0,,,2.0
,0.7830659545974119,,0.2599153412787093,2.2661091844547583,1.0,1.0,1.0,,,1.0,2.0,2.0,,
1.1306153537269898,4.834091695151513,,,6.706084407076702,1.0,,1.0,,0.0,2.0,,2.0,,3.0
,1.080334892390472,3.099844050369919,,1.048851870234501,0.0,0.0,,1.0,,3.0,,2.0,3.0,
0.03276994700469338,,,0.6365258389997134,1.0976451722075775,0.0,,0.0,,0.0,2.0,4.0,,3.0,
3.828087540719213,1.1593922172225344,0.4781518401317225,,,,0.0,1.0,,1.0,2.0,,3.0,,3.0
2.0092847375959693,,,4.321240349326316,0.487390052883831,0.0,,1.0,,0.0,,2.0,,2.0,3.0
1.713097172965526,,,0.08682116989366968,7.2918945093485945,0.0,,,1.0,0.0,2.0,,1.0,,2.0
,,6.017311524630964,1.5053213871442495,1.2585231304371267,0.0,,1.0,1.0,,2.0,,,2.0,2.0
,2.6256721116400388,1.0004608913774997,,7.179040725238462,,0.0,,0.0,0.0,3.0,3.0,,,1.0
,,0.5971882116425973,5.16567800963399,0.46518284543857485,,1.0,0.0,,1.0,,,2.0,1.0,3.0
5.620777175411829,2.2845647136951817,,1.6492121499974504,,,1.0,0.0,1.0,,1.0,2.0,,1.0,
3.199271800780269,,1.2943572565398844,,7.888611974908535,,0.0,,0.0,1.0,,,2.0,2.0,2.0
8.885517328518182,,0.014192968141150663,1.6761114657466434,,,,1.0,0.0,0.0,,3.0,,2.0,2.0
,0.646576437160397,,1.001455737557861,1.5523045164301057,0.0,,1.0,,0.0,1.0,,2.0,1.0,
4.911819857627754,,5.106740078404603,,2.806566831448517,0.0,,,1.0,1.0,,1.0,2.0,3.0,
3.940926122310061,2.99508211262271,,,11.803457036561108,1.0,0.0,0.0,,,,1.0,1.0,,1.0
0.3030707876430734,,,6.333782588452169,9.483579106607927,,,0.0,0.0,0.0,2.0,,,3.0,2.0
,0.42760661026102265,0.18180447640005573,,6.167265719232688,,,0.0,0.0,0.0,2.0,,1.0,3.0,
,,2.936981827100116,0.05874348191984605,7.7046927780359695,0.0,,,1.0,1.0,2.0,3.0,,2.0,
2.0233165743634336,,1.3246523194292554,,1.2481960955320228,,1.0,1.0,,0.0,,3.0,2.0,,1.0
,4.828147786161211,9.666793750949234,4.732200570413025,,,0.0,0.0,1.0,,,2.0,3.0,2.0,
4.890230272519229,1.627434317509056,,,2.4248872294788053,0.0,,,0.0,1.0,2.0,,3.0,,2.0
,,1.8802473435429046,0.27726587607761244,4.869101651931851,,,1.0,1.0,1.0,,1.0,3.0,,2.0
6.785031190461236,7.047198815100158,,,0.5780170285732265,,1.0,1.0,,1.0,1.0,1.0,,,2.0
,4.600964041732157,0.74626618703452,,5.400749075806447,1.0,,0.0,,1.0,2.0,1.0,,1.0,
,0.41333803853918727,2.5378293613746656,,1.4158594371587891,,1.0,,1.0,0.0,1.0,,1.0,,3.0
5.146873425203314,,2.775155485195371,0.4948939617542059,,1.0,,1.0,1.0,,1.0,2.0,,,2.0
0.37095640374735106,,2.2417350557020237,3.3465559986694413,,0.0,,1.0,,1.0,,3.0,2.0,1.0,
11.882121609824397,,0.5547455446927947,,3.356008259320098,1.0,0.0,,1.0,,1.0,0.0,3.0,,
,2.78110535511343,0.4273627952444399,,1.5159493821774332,0.0,0.0,,,0.0,,2.0,2.0,,3.0
5.643591709344562,,0.20049780603749862,1.3848267156534477,,0.0,1.0,,,0.0,,,3.0,1.0,2.0
2.1309638471562407,2.9340504184866387,,2.6085017115065474,,,1.0,0.0,,1.0,,1.0,2.0,,1.0
,2.551576610414489,0.14137049203514362,0.5052925644574018,,0.0,0.0,,0.0,,,3.0,3.0,1.0,
4.7532108484922455,,0.6799826746528634,,1.3717499965218718,0.0,1.0,,,0.0,,2.0,1.0,2.0,
5.876413770142447,0.8669104849535683,,8.535436391900491,,,,1.0,1.0,1.0,,1.0,2.0,,3.0
1.5061414785232543,,,2.073925925919771,1.825879434925032,,1.0,,1.0,0.0,2.0,,1.0,,3.0
0.8601998324166065,0.8346552848706967,,1.2301602786288806,,0.0,1.0,,,1.0,,,2.0,1.0,3.0
3.076528868879587,,,0.010073666209237372,2.1959577365020304,0.0,,,1.0,1.0,1.0,,1.0,,2.0
3.7063124593193075,0.38482194951151905,8.41971064781027,,,0.0,1.0,,,0.0,2.0,2.0,2.0,,
0.4006432471294076,3.1198454980174564,2.9133587366512352,,,,,0.0,0.0,1.0,2.0,3.0,,,1.0
,12.262699221167942,,11.209048959958947,0.3567252544432575,0.0,,1.0,1.0,,,,4.0,2.0,4.0
4.23215920514788,,6.966161245049189,1.638574657329388,,,0.0,0.0,,1.0,,1.0,2.0,,0.0
,9.858187908665553,3.1308534145545,4.991711826464459,,1.0,,,0.0,0.0,,,3.0,2.0,3.0
2.1775265204017153,1.8920816704281629,0.4493907224943942,,,,1.0,,0.0,1.0,,1.0,,1.0,2.0
,,4.820924116056149,2.3933618769576994,2.2725428103704783,,0.0,0.0,1.0,,2.0,,,2.0,3.0
2.608757307413783,,4.113863516129218,0.23060706408672504,,1.0,,1.0,1.0,,,,3.0,3.0,4.0
3.442964350450103,0.6176087811575295,1.675079915785036,,,0.0,1.0,1.0,,,3.0,,,2.0,2.0
,,7.641877599531722,1.330331731374062,2.381937057402282,0.0,0.0,,,1.0,2.0,3.0,1.0,,
4.150577720164,,,1.5930112938392913,0.9307518497330158,1.0,,1.0,1.0,,2.0,,,4.0,2.0
2.4088948000657355,5.017041458965812,0.021359308640784218,,,,1.0,,0.0,0.0,,3.0,2.0,,2.0
,1.3641966080686416,4.6498662466773775,,8.371356928819086,,,1.0,0.0,1.0,2.0,,,2.0,1.0
,17.196192806487073,0.7246996868570907,15.558247466008218,,,,0.0,0.0,1.0,2.0,,2.0,2.0,
0.4442777870015294,,3.545502103885001,6.97319031490283,,,0.0,,1.0,0.0,1.0,,1.0,3.0,
0.27168802404114173,,4.365506256542639,4.049446630243798,,,0.0,0.0,0.0,,3.0,,2.0,3.0,
1.3253622710781996,,,17.220354035630674,0.19189934696900696,0.0,,0.0,,0.0,2.0,,,1.0,2.0
1.7231415669828003,0.9824836100875698,5.405233529765846,,,,1.0,,1.0,1.0,,2.0,,1.0,2.0
4.841307256709792,6.769345909401039,,12.03008636704285,,1.0,,0.0,,1.0,2.0,2.0,,,3.0
,,4.989380698828413,0.9657188661725462,2.6033642965920176,,1.0,0.0,1.0,,,,2.0,2.0,2.0
,0.9389653474766835,6.656898414360373,0.5962118350354291,,0.0,1.0,1.0,,,2.0,2.0,2.0,,
5.2764270748543565,10.585381264296139,0.4639613581049201,,,0.0,,1.0,,0.0,1.0,,4.0,1.0,
,1.1862897422728447,,0.8185492968551484,4.037957117134098,,,1.0,1.0,1.0,2.0,,,3.0,2.0
,1.9349603444597552,,1.588235743303753,1.4568380373614278,1.0,0.0,1.0,,,,3.0,,2.0,4.0
0.5687581320597126,,,2.1856291695018877,5.357532614751514,,0.0,0.0,,1.0,2.0,,,2.0,2.0
0.6148996537765039,3.991564708396967,4.361470829832948,,,0.0,,0.0,,1.0,2.0,,,2.0,1.0
4.064941793991393,,,12.01175514955019,4.662544040465184,1.0,,,1.0,1.0,1.0,1.0,,,3.0
,1.1143565947996366,,0.6799724589958865,4.967956606070402,,0.0,,1.0,1.0,2.0,,2.0,,2.0
8.36894644278789,,0.0012320295958862769,1.1314075858966661,,0.0,,0.0,0.0,,3.0,,,2.0,1.0
0.27824144806129997,,,4.707545862583746,3.2940416521974116,,,0.0,0.0,0.0,,,2.0,1.0,2.0
