0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,3.3256476830608532,2.064356335051234,0.3667503440658113,,,1.0,1.0,0.0,,2.0,,1.0,1.0,
1.1257984909471008,,0.8418764377915395,,9.345894907902528,0.0,0.0,0.0,,,,,2.0,2.0,2.0
,0.8732790935713244,7.89530055892967,,1.4201148559478622,0.0,0.0,1.0,,,3.0,3.0,,3.0,
,,2.204359388556963,7.52226267832324,3.573257198256845,,0.0,,0.0,0.0,,1.0,2.0,,3.0
0.29833500036741223,4.577899290755464,,,1.012413749189533,0.0,,1.0,0.0,,2.0,,2.0,2.0,
3.718419476896055,2.840015536998401,0.206117286711209,,,,0.0,,0.0,1.0,,,1.0,2.0,1.0
,1.939561632395245,2.200757678084548,4.355923937212655,,1.0,0.0,1.0,,,2.0,,,2.0,2.0
,2.431397497347099,,4.121228438138546,0.2762394114233603,1.0,1.0,,,1.0,2.0,1.0,,,2.0
1.5064841291579065,3.181017689134393,,,0.216263934475592,,0.0,1.0,1.0,,,2.0,3.0,1.0,
,6.215383573140803,2.4677828538172,,8.344909146565708,,0.0,,1.0,1.0,3.0,,2.0,1.0,
,0.2831510828871799,,0.45831871763589804,1.2267344392892654,0.0,,,0.0,1.0,2.0,,2.0,2.0,
2.3765661750878984,0.6627330159982634,,0.3296701898739783,,0.0,,,0.0,0.0,,3.0,2.0,2.0,
2.6206399295222584,9.7669429279558,,,0.9350534924193992,,1.0,,1.0,1.0,,,2.0,1.0,2.0
4.588186644400675,,4.328498866100505,,4.830821144684671,0.0,,,1.0,0.0,,3.0,,2.0,2.0
,7.231958021499837,,6.2081424017091935,0.5010705124730003,,0.0,1.0,,1.0,,3.0,1.0,3.0,
,4.706928765679804,1.9800900976532714,1.8920678820129364,,0.0,0.0,,,1.0,1.0,,3.0,1.0,
,,0.16082661069568455,1.1868352150224721,2.8899351634810757,0.0,,,0.0,0.0,2.0,2.0,2.0,,
,,1.1053738609793584,2.150494277774527,2.062469022501337,0.0,0.0,,0.0,,2.0,,,2.0,3.0
4.369396702437873,0.6823962793136754,,1.2516808652925637,,1.0,0.0,1.0,,,2.0,2.0,,,2.0
0.0016744472045524617,,12.950839541865738,,0.08534177342746796,0.0,0.0,,,0.0,,,4.0,1.0,4.0
5.228882831143649,,0.3903339066941519,,0.35126873456934116,0.0,,0.0,0.0,,,2.0,,2.0,3.0
,0.20774226400837623,1.5518047345088692,0.007226046063934243,,0.0,,1.0,0.0,,,2.0,,2.0,2.0
,,0.7733806117506579,0.5737687017945556,0.2696061810027545,0.0,,1.0,0.0,,3.0,,,2.0,3.0
,,1.5708897002970201,2.45767271403208,3.213284835774026,,0.0,1.0,,1.0,2.0,,3.0,1.0,
,4.034979538578505,6.19715325443003,2.6882943302307427,,,1.0,0.0,,1.0,3.0,1.0,3.0,,
