0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,3.645027354047806,5.7117162308672444,,,1.0,,0.0,,2.0,,,4.0,
,5.86679043774022,0.389565652337951,,,,1.0,,,1.0,3.0,,,3.0,
,1.8442377320682901,,,6.216806104727345,,0.0,,0.0,,,3.0,,,2.0
,,,4.421998857656382,1.9994762513303155,1.0,,,1.0,,2.0,,2.0,,
14.459005859655619,,,,0.440928060106055,,,0.0,,0.0,,2.0,,2.0,
,9.139469688057549,2.530456251846955,,,,1.0,,1.0,,,2.0,2.0,,
,1.33008899489896,,,3.55328767579378,,,,1.0,0.0,,2.0,,2.0,
,,,5.965813840802237,0.9261611944437791,,,,0.0,0.0,,,,4.0,3.0
,1.0491122560042283,,,0.4400873207008647,,0.0,,1.0,,2.0,,,,2.0
1.0082235610957173,,1.253717689952742,,,1.0,,,0.0,,2.0,,2.0,,
,1.936195785365598,,,7.818424930054528,,,0.0,,0.0,,,2.0,,3.0
,,4.881838284633662,,2.4886380441261413,,0.0,,,1.0,,,2.0,3.0,
1.2249195740055316,,,3.6781591396371436,,,,,1.0,0.0,,2.0,,2.0,
,,1.0393111539740214,3.596340416060989,,,0.0,,0.0,,,,1.0,2.0,
0.9151880747109319,,,0.39738989736783853,,0.0,,,1.0,,2.0,3.0,,,
,1.0966593733680083,,,3.2819281580777293,,1.0,0.0,,,,,2.0,,3.0
1.7876611338068873,,,0.8614871064057305,,,,,1.0,1.0,,,,2.0,3.0
0.7344549783706839,,5.181069447614577,,,,,1.0,,0.0,,,1.0,,2.0
6.710678097632817,,0.35493438221280815,,,,,,1.0,0.0,,,2.0,,3.0
9.315397060471291,,1.6176727037954277,,,,0.0,,,0.0,,,1.0,2.0,
3.7664571177149453,12.939613179357522,,,,,0.0,,,0.0,,1.0,2.0,,
,,1.0774235829255707,,0.2950085384232478,,1.0,,1.0,,,1.0,,2.0,
,1.7145941941521392,,,4.418812427875983,,,,0.0,0.0,2.0,,2.0,,
,,12.19669038161029,,6.701597197690288,,,0.0,,1.0,,2.0,,,3.0
,,1.8814559160345,1.924170925309097,,1.0,,,,0.0,,3.0,,2.0,
,,,5.276070116053478,2.152217727523162,,0.0,,,1.0,,2.0,,,1.0
,,5.621327934934836,11.646623620191995,,,,1.0,,0.0,3.0,,,3.0,
,1.407323050581295,1.4457093119598228,,,1.0,,,,1.0,,3.0,2.0,,
0.172479851469427,,1.9668524824003337,,,,,,0.0,1.0,,3.0,,3.0,
0.08086839160257434,,1.3599751675880347,,,,,1.0,,1.0,3.0,,,,2.0
,,3.0133949232927306,5.024191481991959,,1.0,,1.0,,,,2.0,,3.0,
0.7640662320085929,,,0.3561036377175958,,,,0.0,,0.0,,3.0,,,2.0
,,,2.1600863410340203,2.4142035631755028,,1.0,,,0.0,,2.0,2.0,,
,3.4193280839321036,5.786690853816701,,,,,0.0,0.0,,1.0,,,2.0,
6.510592042788639,,,1.8986140794829123,,,,,1.0,0.0,,,2.0,3.0,
,6.071307016918693,,,4.787187474119,,1.0,0.0,,,2.0,1.0,,,
4.908361814379099,,,0.9678432220082607,,,1.0,,,0.0,,2.0,,,2.0
,,1.751805091056438,0.3074009750564332,,,1.0,1.0,,,2.0,,,2.0,
,0.6347208557246864,3.401909519895087,,,0.0,1.0,,,,3.0,1.0,,,
14.457317231485195,,0.6194546857579287,,,,,1.0,,1.0,,1.0,2.0,,
3.406026205541127,,,2.9086434754424726,,,,1.0,,1.0,,,2.0,,1.0
,2.0589161278772914,,,10.365855349161327,,1.0,,,0.0,,2.0,3.0,,
1.2163746161663798,1.5820237656384428,,,,,,,0.0,1.0,,2.0,1.0,,
3.642165412438533,,2.9724537354643203,,,,1.0,0.0,,,,2.0,,,3.0
,,0.3522119185174639,6.269323057404829,,,1.0,,,1.0,2.0,1.0,,,
,0.48192057179934555,,5.755647416723431,,0.0,,,,1.0,,,2.0,,0.0
1.965421869697464,,,7.329070976381786,,1.0,,,,1.0,,,4.0,,2.0
,,,1.2870152379428932,2.8078428646641376,0.0,,,0.0,,,2.0,,3.0,
,1.328200919438733,,,3.174046140882321,,,1.0,,1.0,2.0,,1.0,,
4.490504750480636,,1.3277061665375107,,,,1.0,,,0.0,1.0,,,2.0,
,,7.699540293376824,1.3659129728454669,,,,,0.0,1.0,,,1.0,3.0,
,0.5160625176478799,,,8.380517114333044,,1.0,,,1.0,,,,2.0,3.0
1.0188310983907227,,,,0.9271698998756152,,,,0.0,0.0,,,2.0,3.0,
0.2762958520945621,,0.7215828561754072,,,0.0,,,,0.0,,1.0,,3.0,
1.1953404910470082,,0.0016498919463350898,,,,1.0,,,0.0,3.0,,,,2.0
,,,8.119936926343321,5.915537158030507,1.0,,1.0,,,3.0,,,,2.0
,15.14776178554824,,0.5868756619719069,,,1.0,,,0.0,,,,2.0,1.0
,2.576574229705204,,,7.888480945370587,1.0,,,1.0,,3.0,,,2.0,
6.630328004849479,,,,1.3533210793456054,,0.0,0.0,,,,1.0,,2.0,
,,0.352755043155328,4.381754086935398,,,,1.0,1.0,,2.0,,,,3.0
,,6.488536895262126,0.011249534172041869,,,,,1.0,1.0,,,,2.0,2.0
,4.6919732872352204,0.6431513583888772,,,,1.0,,1.0,,,2.0,2.0,,
0.24975284405518772,2.9087860299840727,,,,,1.0,,,1.0,,,1.0,,2.0
0.9869896391113325,,,4.697501106394724,,,0.0,,1.0,,,,,2.0,1.0
,,1.0576457909990136,1.80315930157406,,1.0,1.0,,,,,,2.0,,2.0
,,1.0839377575965954,4.344841755415824,,,,,0.0,1.0,1.0,,,,1.0
,1.157185619729567,,,4.750745508558645,,1.0,,,0.0,1.0,,,,2.0
,4.658326139139734,,,2.44585027780318,1.0,,,1.0,,,,2.0,,3.0
,2.9179688790430918,,,3.2769880371213613,,,0.0,,1.0,0.0,,,,3.0
1.0449719415022605,,,2.0318541032281168,,1.0,,,1.0,,2.0,,,,2.0
1.8128902819974821,,,0.6384722285630426,,0.0,,,1.0,,1.0,,,,2.0
,2.106731387352542,0.16175992403984443,,,,0.0,1.0,,,2.0,2.0,,,
,,3.3906510114477335,,10.16315235500468,,,,1.0,1.0,,,2.0,,2.0
0.3963583763168213,,,,10.206498054324165,,1.0,,1.0,,2.0,,,2.0,
2.3888334511505134,,,1.204733489475296,,0.0,1.0,,,,,3.0,,,1.0
0.0998254667597289,,,,2.3075222485866096,,0.0,0.0,,,,2.0,,,2.0
,,4.572964263614509,0.10816331965549626,,,,0.0,,1.0,,,2.0,1.0,
2.880520811986701,7.8012963210267845,,,,,,0.0,,1.0,1.0,,,1.0,
7.749239808797759,0.16800240522682564,,,,,,1.0,1.0,,,,,1.0,3.0
4.748390893257008,,,,1.9840184926470137,1.0,,,,0.0,,2.0,1.0,,
,4.290500003303737,,,0.7170205418225277,,,0.0,,0.0,,2.0,,,1.0
,,1.863144663110305,2.751159347796394,,,,1.0,1.0,,3.0,,,3.0,
0.20649705572946478,0.10088891036961606,,,,,,0.0,1.0,,,,3.0,2.0,
3.7761829795033153,,,,6.37300876404921,,,0.0,,0.0,,,,2.0,2.0
,,5.349853684608886,,8.277715096860707,1.0,,,,1.0,,,2.0,,2.0
0.6475471427368859,3.5002732285682234,,,,,,,0.0,1.0,1.0,,,2.0,
0.9599174926491973,,2.2402331434092124,,,,1.0,0.0,,,,,1.0,,3.0
,,2.149598763593892,,8.044430055741245,,,1.0,0.0,,,,,2.0,3.0
4.9125609845733065,0.7906836201104377,,,,,,,0.0,0.0,2.0,,,3.0,
,,,1.8124901091036967,2.526680237658843,1.0,,,,0.0,,,,2.0,4.0
,,1.7412309488531483,,0.14664326706120218,,,0.0,,1.0,,,2.0,,2.0
,5.765918520794303,2.640929858547503,,,,1.0,,,1.0,,,4.0,,3.0
,4.73862359102607,,,0.5093789842496599,1.0,0.0,,,,,,3.0,2.0,
1.11456455060481,,,5.175176252292054,,0.0,,,,0.0,2.0,,,,3.0
,6.786686007443501,,,2.553224025585354,,,1.0,,0.0,,2.0,3.0,,
,,,1.8468588103943278,0.5956996850060312,,,1.0,,0.0,,2.0,,,2.0
0.39565395768187844,3.390551449768253,,,,1.0,,1.0,,,1.0,2.0,,,
,,1.1013335392605348,2.6311853879952354,,1.0,,0.0,,,,,,2.0,3.0
,1.1431389499850897,,,7.038444395937207,1.0,1.0,,,,,3.0,,,3.0
0.7823841941315757,,,,6.338139919272722,1.0,,,0.0,,,,,1.0,2.0
1.9865940387185201,1.0430051210760165,,,,0.0,,,1.0,,,,,1.0,3.0
1.6445179042699216,0.7708632004815144,,,,,0.0,,,0.0,,,2.0,,3.0
,0.298840625447697,,2.444692360987481,,1.0,,,1.0,,,1.0,,,2.0
,0.6476969944876857,,0.7584749911679555,,0.0,,,,1.0,,,2.0,,3.0
