"date";"MMM.Open";"AXP.Open";"AMGN.Open";"AAPL.Open";"BA.Open";"CAT.Open";"CVX.Open";"CSCO.Open";"KO.Open";"DOW.Open";"GS.Open";"HD.Open";"HON.Open";"IBM.Open";"INTC.Open";"JNJ.Open";"JPM.Open";"MCD.Open";"MRK.Open";"MSFT.Open";"NKE.Open";"PG.Open";"CRM.Open";"TRV.Open";"UNH.Open";"VZ.Open";"V.Open";"WBA.Open";"WMT.Open";"DIS.Open"
"2001-01-29";53,654999;41,401691;71,25;0,34933;57,990002;21,58;40,810001;36,125;28,799999;NA;114,5;45,299999;44,188679;107,552582;35,25;46,25;54,189999;29,200001;78,530533;31,78125;6,6375;34,5;NA;47,450001;14,9525;46,656864;NA;39,009998;53,700001;29,170805
"2001-01-30";53,375;41,139099;71,109375;0,385045;56,459999;21,549999;40,674999;37,8125;28,629999;NA;116,900002;45,75;43,664326;109,942642;37,375;46;55,099998;29,5;77,185112;32,25;6,625;34,75;NA;47,740002;14,4575;47,691086;NA;39,610001;54,209999;30,403931
"2001-01-31";55,705002;41,83934;70,6875;0,383929;56,5;22,200001;41,299999;38,8125;28,955;NA;118,620003;46,650002;45,161114;110,659653;37,3125;46,494999;56,490002;29,25;77,099236;31,5;6,75;35,5;NA;48,349998;14,1875;48,248665;NA;40;54,200001;30,482849
"2001-02-01";55,450001;41,226631;69,8125;0,36942;58,5;22,110001;41,639999;37,5;28,75;NA;114,900002;47,52;45,428059;107,456978;37,0625;46,564999;54,990002;29,5;78,959923;30,40625;6,875;36;NA;48,029999;14,2;49,192955;NA;41,119999;56,799999;30,038925
"2001-02-02";55,400002;41,567997;69,4375;0,377232;56,52;22,165001;41,634998;38,3125;28,719999;NA;117,599998;48,650002;45,332722;107,791588;37,671875;47,25;55;29,059999;80,629768;31,25;6,8225;37,150002;NA;47;14,975;47,75404;NA;42,990002;55,970001;30,828125
"2001-02-05";54,150002;42,224472;69,8125;0,366071;56,849998;22,135;41,400002;34,5625;28,870001;NA;113,75;46,869999;45,475727;104,588913;35,0625;47,674999;54,509998;29,25;80,124046;30,375;6,825;36,994999;NA;48;15,2475;46,764782;NA;42,18;55;30,334875
"2001-02-06";55,549999;42,373272;68,3125;0,359933;57,93;21,885;41,525002;34,765625;29,6;NA;112,949997;47,110001;46,953449;107,294456;34,5625;46,965;54,009998;29,27;80,620232;31,03125;6,89875;37,424999;NA;49,560001;15,7125;47,619141;NA;41,75;53,400002;30,581499
"2001-02-07";55,549999;41,445454;69,609375;0,368862;56,73;21,76;42,16;31,9375;29,709999;NA;109,400002;45,900002;46,715107;108,413002;35;47,099998;52,349998;30,01;80,505722;31;7,125;36,924999;NA;47,5;15,475;48,383564;NA;41,330002;53,209999;31,183266
"2001-02-08";56,435001;40,70145;71,0625;0,367188;57,450001;21,805;41,68;31,1875;30;NA;105,699997;46;46,705574;111,768639;35,375;47,349998;52,330002;29,42;77,14695;31,875;7,01625;37,595001;NA;49;15,4875;47,888939;NA;42,75;54,549999;30,660419
"2001-02-09";56,150002;41,926868;69,375;0,366071;57,509998;21,59;42,555;29,859375;30,305;NA;105,099998;44,5;46,267021;109,015297;34,3125;47,799999;51,689999;29,33;79,10305;30,65625;6,88875;37,544998;NA;47,599998;14,85;48,023834;NA;41,849998;52,310001;31,696245
"2001-02-12";55,240002;41,182865;72,0625;0,340402;58,209999;21,565001;43;28,5625;30,07;NA;107,699997;44,57;45,285053;105,688339;33,6875;48,25;52,470001;29,76;79,169846;29,40625;6,75;37,494999;NA;48,75;14,8375;47,205452;NA;41,450001;51;31,518675
"2001-02-13";56,240002;42,031906;74,25;0,356027;59,09;21,575001;42,82;29,75;30,040001;NA;109,900002;45,990002;46,591167;109,13002;34,125;48,75;52,540001;29,9;78,482826;29,8125;6,78875;37,450001;NA;49;15,1875;47,97887;NA;40,900002;53,049999;32,071114
"2001-02-14";57,07;41,139099;72,375;0,342634;60,720001;21,629999;43,145;28,9375;29,924999;NA;106,400002;46,75;46,333759;108,747612;32,5625;48,450001;51,75;31;76,622139;28,8125;7,0125;37,25;NA;48,950001;14,975;48,338596;NA;41,599998;54,349998;31,074751
"2001-02-15";55,424999;41,182865;71,75;0,351563;60,59;21,705;42,5;30,4375;29,475;NA;105,949997;45,400002;45,332722;111,663483;35,4375;47,724998;51,380001;29,290001;74,427483;29,5;6,82625;36,575001;NA;48,299999;14,5625;47,079548;NA;41,650002;53,349998;30,828125
"2001-02-16";57,375;41,069077;71,375;0,339286;60,150002;22,059999;43,025002;28;29,205;NA;104,5;45;45,685467;109,512428;34,75;46,75;50,400002;30;73,950378;28,5;6,54;37,244999;NA;48,650002;14,0625;46,647869;NA;42,900002;51,799999;31,972466
"2001-02-20";56,615002;41,401691;71,1875;0,342634;60,150002;21,700001;43,150002;28,671875;29,68;NA;102,099998;44,48;45,961945;109,512428;34,0625;47,299999;51,990002;30,07;73,769081;28,6875;6,44;37,724998;NA;48,25;14,5875;46,764782;NA;43,02;52,200001;31,577866
